lap,laps_remaining,tire_age,compound,is_soft,is_medium,is_hard,expected_lap_time,pit
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,1
1,57,0,SOFT,1,0,0,83.92150000000001,0
2,56,1,SOFT,1,0,0,84.4405,0
3,55,2,SOFT,1,0,0,83.84,0
4,54,3,SOFT,1,0,0,83.912,0
5,53,4,SOFT,1,0,0,83.752,1
5,53,0,HARD,0,0,1,82.6943275862069,0
6,52,1,HARD,0,0,1,89.8065,0
7,51,2,HARD,0,0,1,82.7645,0
8,50,3,HARD,0,0,1,82.57300000000001,0
9,49,4,HARD,0,0,1,82.581,0
10,48,5,HARD,0,0,1,82.663,0
11,47,6,HARD,0,0,1,82.767,0
12,46,7,HARD,0,0,1,82.221,0
13,45,8,HARD,0,0,1,82.759,0
14,44,9,HARD,0,0,1,81.8815,0
15,43,10,HARD,0,0,1,81.67699999999999,0
16,42,11,HARD,0,0,1,81.583,0
17,41,12,HARD,0,0,1,81.713,0
18,40,13,HARD,0,0,1,81.74,0
19,39,14,HARD,0,0,1,81.976,0
20,38,15,HARD,0,0,1,81.837,0
21,37,16,HARD,0,0,1,81.951,0
22,36,17,HARD,0,0,1,82.06,0
23,35,18,HARD,0,0,1,82.1065,0
24,34,19,HARD,0,0,1,82.229,0
25,33,20,HARD,0,0,1,82.697,0
26,32,21,HARD,0,0,1,82.947,0
27,31,22,HARD,0,0,1,83.007,0
28,30,23,HARD,0,0,1,82.706,0
29,29,24,HARD,0,0,1,82.8035,1
29,29,0,HARD,0,0,1,82.6943275862069,0
30,28,1,HARD,0,0,1,89.8065,0
31,27,2,HARD,0,0,1,82.7645,0
32,26,3,HARD,0,0,1,82.57300000000001,0
33,25,4,HARD,0,0,1,82.581,0
34,24,5,HARD,0,0,1,82.663,0
35,23,6,HARD,0,0,1,82.767,0
36,22,7,HARD,0,0,1,82.221,0
37,21,8,HARD,0,0,1,82.759,0
38,20,9,HARD,0,0,1,81.8815,0
39,19,10,HARD,0,0,1,81.67699999999999,0
40,18,11,HARD,0,0,1,81.583,0
41,17,12,HARD,0,0,1,81.713,0
42,16,13,HARD,0,0,1,81.74,0
43,15,14,HARD,0,0,1,81.976,0
44,14,15,HARD,0,0,1,81.837,0
45,13,16,HARD,0,0,1,81.951,0
46,12,17,HARD,0,0,1,82.06,0
47,11,18,HARD,0,0,1,82.1065,0
48,10,19,HARD,0,0,1,82.229,0
49,9,20,HARD,0,0,1,82.697,0
50,8,21,HARD,0,0,1,82.947,0
51,7,22,HARD,0,0,1,83.007,0
52,6,23,HARD,0,0,1,82.706,0
53,5,24,HARD,0,0,1,82.8035,0
54,4,25,HARD,0,0,1,82.989,0
55,3,26,HARD,0,0,1,83.04599999999999,0
56,2,27,HARD,0,0,1,83.446,0
57,1,28,HARD,0,0,1,82.537,1
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,0
7,51,6,MEDIUM,0,1,0,82.804,0
8,50,7,MEDIUM,0,1,0,83.019,0
9,49,8,MEDIUM,0,1,0,82.974,0
10,48,9,MEDIUM,0,1,0,82.7015,0
11,47,10,MEDIUM,0,1,0,82.962,0
12,46,11,MEDIUM,0,1,0,83.2975,0
13,45,12,MEDIUM,0,1,0,83.16,0
14,44,13,MEDIUM,0,1,0,83.14475,1
14,44,1,HARD,0,0,1,89.8065,0
15,43,2,HARD,0,0,1,82.7645,0
16,42,3,HARD,0,0,1,82.57300000000001,0
17,41,4,HARD,0,0,1,82.581,0
18,40,5,HARD,0,0,1,82.663,0
19,39,6,HARD,0,0,1,82.767,0
20,38,7,HARD,0,0,1,82.221,0
21,37,8,HARD,0,0,1,82.759,0
22,36,9,HARD,0,0,1,81.8815,0
23,35,10,HARD,0,0,1,81.67699999999999,0
24,34,11,HARD,0,0,1,81.583,0
25,33,12,HARD,0,0,1,81.713,0
26,32,13,HARD,0,0,1,81.74,0
27,31,14,HARD,0,0,1,81.976,0
28,30,15,HARD,0,0,1,81.837,0
29,29,16,HARD,0,0,1,81.951,0
30,28,17,HARD,0,0,1,82.06,0
31,27,18,HARD,0,0,1,82.1065,0
32,26,19,HARD,0,0,1,82.229,0
33,25,20,HARD,0,0,1,82.697,0
34,24,21,HARD,0,0,1,82.947,0
35,23,22,HARD,0,0,1,83.007,0
36,22,23,HARD,0,0,1,82.706,0
37,21,24,HARD,0,0,1,82.8035,0
38,20,25,HARD,0,0,1,82.989,0
39,19,26,HARD,0,0,1,83.04599999999999,0
40,18,27,HARD,0,0,1,83.446,1
40,18,1,HARD,0,0,1,89.8065,0
41,17,2,HARD,0,0,1,82.7645,0
42,16,3,HARD,0,0,1,82.57300000000001,0
43,15,4,HARD,0,0,1,82.581,0
44,14,5,HARD,0,0,1,82.663,0
45,13,6,HARD,0,0,1,82.767,0
46,12,7,HARD,0,0,1,82.221,0
47,11,8,HARD,0,0,1,82.759,0
48,10,9,HARD,0,0,1,81.8815,0
49,9,10,HARD,0,0,1,81.67699999999999,0
50,8,11,HARD,0,0,1,81.583,0
51,7,12,HARD,0,0,1,81.713,0
52,6,13,HARD,0,0,1,81.74,0
53,5,14,HARD,0,0,1,81.976,0
54,4,15,HARD,0,0,1,81.837,0
55,3,16,HARD,0,0,1,81.951,0
56,2,17,HARD,0,0,1,82.06,0
57,1,18,HARD,0,0,1,82.1065,0
58,0,19,HARD,0,0,1,82.229,0
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,0
7,51,6,MEDIUM,0,1,0,82.804,0
8,50,7,MEDIUM,0,1,0,83.019,0
9,49,8,MEDIUM,0,1,0,82.974,0
10,48,9,MEDIUM,0,1,0,82.7015,0
11,47,10,MEDIUM,0,1,0,82.962,0
12,46,11,MEDIUM,0,1,0,83.2975,0
13,45,12,MEDIUM,0,1,0,83.16,0
14,44,13,MEDIUM,0,1,0,83.14475,0
15,43,14,MEDIUM,0,1,0,83.14475,0
16,42,15,MEDIUM,0,1,0,83.14475,0
17,41,16,MEDIUM,0,1,0,83.14475,1
17,41,0,HARD,0,0,1,82.6943275862069,0
18,40,1,HARD,0,0,1,89.8065,0
19,39,2,HARD,0,0,1,82.7645,0
20,38,3,HARD,0,0,1,82.57300000000001,0
21,37,4,HARD,0,0,1,82.581,0
22,36,5,HARD,0,0,1,82.663,0
23,35,6,HARD,0,0,1,82.767,0
24,34,7,HARD,0,0,1,82.221,0
25,33,8,HARD,0,0,1,82.759,0
26,32,9,HARD,0,0,1,81.8815,0
27,31,10,HARD,0,0,1,81.67699999999999,0
28,30,11,HARD,0,0,1,81.583,0
29,29,12,HARD,0,0,1,81.713,0
30,28,13,HARD,0,0,1,81.74,0
31,27,14,HARD,0,0,1,81.976,0
32,26,15,HARD,0,0,1,81.837,0
33,25,16,HARD,0,0,1,81.951,0
34,24,17,HARD,0,0,1,82.06,0
35,23,18,HARD,0,0,1,82.1065,0
36,22,19,HARD,0,0,1,82.229,0
37,21,20,HARD,0,0,1,82.697,0
38,20,21,HARD,0,0,1,82.947,0
39,19,22,HARD,0,0,1,83.007,0
40,18,23,HARD,0,0,1,82.706,0
41,17,24,HARD,0,0,1,82.8035,1
41,17,0,HARD,0,0,1,82.6943275862069,0
42,16,1,HARD,0,0,1,89.8065,0
43,15,2,HARD,0,0,1,82.7645,0
44,14,3,HARD,0,0,1,82.57300000000001,0
45,13,4,HARD,0,0,1,82.581,0
46,12,5,HARD,0,0,1,82.663,0
47,11,6,HARD,0,0,1,82.767,0
48,10,7,HARD,0,0,1,82.221,0
49,9,8,HARD,0,0,1,82.759,0
50,8,9,HARD,0,0,1,81.8815,0
