compound,tire_age,expected_lap_time,sample_size,smoothed_time,base_time,relative_deg
HARD,1,89.8065,2,86.2855,81.65766666666666,4.627833333333342
HARD,2,82.7645,28,85.048,81.65766666666666,3.390333333333345
HARD,3,82.57300000000001,34,82.6395,81.65766666666666,0.9818333333333413
HARD,4,82.581,34,82.60566666666666,81.65766666666666,0.9480000000000075
HARD,5,82.663,35,82.67033333333333,81.65766666666666,1.012666666666675
HARD,6,82.767,35,82.55033333333334,81.65766666666666,0.8926666666666847
HARD,7,82.221,34,82.58233333333334,81.65766666666666,0.9246666666666812
HARD,8,82.759,33,82.28716666666666,81.65766666666666,0.6295000000000073
HARD,9,81.8815,32,82.10583333333334,81.65766666666666,0.4481666666666797
HARD,10,81.67699999999999,32,81.71383333333333,81.65766666666666,0.056166666666669585
HARD,11,81.583,33,81.65766666666666,81.65766666666666,0.0
HARD,12,81.713,31,81.67866666666667,81.65766666666666,0.021000000000015007
HARD,13,81.74,33,81.80966666666666,81.65766666666666,0.15200000000000102
HARD,14,81.976,33,81.851,81.65766666666666,0.19333333333334224
HARD,15,81.837,33,81.92133333333332,81.65766666666666,0.2636666666666656
HARD,16,81.951,31,81.94933333333334,81.65766666666666,0.2916666666666856
HARD,17,82.06,29,82.03916666666667,81.65766666666666,0.3815000000000168
HARD,18,82.1065,28,82.13183333333333,81.65766666666666,0.47416666666667595
HARD,19,82.229,27,82.34416666666667,81.65766666666666,0.6865000000000094
HARD,20,82.697,25,82.62433333333333,81.65766666666666,0.9666666666666686
HARD,21,82.947,22,82.88366666666667,81.65766666666666,1.2260000000000133
HARD,22,83.007,18,82.88666666666667,81.65766666666666,1.2290000000000134
HARD,23,82.706,17,82.83883333333334,81.65766666666666,1.1811666666666838
HARD,24,82.8035,14,82.83283333333334,81.65766666666666,1.1751666666666836
HARD,25,82.989,13,82.94616666666667,81.65766666666666,1.2885000000000133
HARD,26,83.04599999999999,10,83.16033333333333,81.65766666666666,1.50266666666667
HARD,27,83.446,9,83.00966666666666,81.65766666666666,1.3520000000000039
HARD,28,82.537,5,83.017,81.65766666666666,1.359333333333339
HARD,29,83.068,5,82.8025,81.65766666666666,1.144833333333338
MEDIUM,1,83.953,14,83.559,82.87916666666666,0.6798333333333346
MEDIUM,2,83.165,15,83.46333333333334,82.87916666666666,0.5841666666666754
MEDIUM,3,83.272,15,83.24900000000001,82.87916666666666,0.36983333333334656
MEDIUM,4,83.31,15,83.23366666666666,82.87916666666666,0.3545000000000016
MEDIUM,5,83.119,15,83.07766666666667,82.87916666666666,0.1985000000000099
MEDIUM,6,82.804,13,82.98066666666666,82.87916666666666,0.10150000000000148
MEDIUM,7,83.019,13,82.93233333333335,82.87916666666666,0.05316666666668368
MEDIUM,8,82.974,9,82.89816666666667,82.87916666666666,0.019000000000005457
MEDIUM,9,82.7015,6,82.87916666666666,82.87916666666666,0.0
MEDIUM,10,82.962,6,82.98700000000001,82.87916666666666,0.1078333333333461
MEDIUM,11,83.2975,6,83.13983333333333,82.87916666666666,0.2606666666666655
MEDIUM,12,83.16,6,83.22874999999999,82.87916666666666,0.34958333333332803
SOFT,1,84.4405,2,84.14025000000001,83.70750000000001,0.43274999999999864
SOFT,2,83.84,3,84.06416666666667,83.70750000000001,0.3566666666666549
SOFT,3,83.912,3,83.83466666666668,83.70750000000001,0.12716666666666754
SOFT,4,83.752,2,83.77566666666667,83.70750000000001,0.06816666666665583
SOFT,5,83.66300000000001,2,83.70750000000001,83.70750000000001,0.0
